NAICS,Subsector and Industry,Electricity Used (GWh),Region
331315,"  Aluminum Sheet, Plate and Foils",1226,Midwest
331316,  Aluminum Extruded Products,W,Midwest
3314,"  Nonferrous Metals, except Aluminum",4391,Midwest
331419,"  Primary Smelting and Refining of Nonferrous Metals, except Copper and Aluminum",2891,Midwest
3315,  Foundries,6849,Midwest
331511,  Iron Foundries,3879,Midwest
331521,  Aluminum Die-Casting Foundries,863,Midwest
331524,"  Aluminum Foundries, except Die-Casting",492,Midwest
332,Fabricated Metal Products,16345,Midwest
333,Machinery,9688,Midwest
334,Computer and Electronic Products,4551,Midwest
334413,  Semiconductors and Related Devices,676,Midwest
335,"Electrical Equip., Appliances, and Components",2827,Midwest
336,Transportation Equipment,19775,Midwest
336111,  Automobiles,1765,Midwest
336112,  Light Trucks and Utility Vehicles,2059,Midwest
3364,  Aerospace Product and Parts,2012,Midwest
336411,  Aircraft,505,Midwest
337,Furniture and Related Products,1665,Midwest
339,Miscellaneous,1254,Midwest
311,Food,23271,South
3112,  Grain and Oilseed Milling,3690,South
311221,  Wet Corn Milling,824,South
31131,  Sugar Manufacturing,263,South
3114,  Fruit and Vegetable Preserving and Specialty Foods ,2394,South
3115,  Dairy Products,1815,South
3116,  Animal Slaughtering and Processing,8966,South
312,Beverage and Tobacco Products,3614,South
3121,  Beverages,2682,South
3122,  Tobacco ,932,South
313,Textile Mills,12007,South
314,Textile Product Mills,1800,South
315,Apparel,886,South
316,Leather and Allied Products,73,South
321,Wood Products,8775,South
321113,  Sawmills,2707,South
3212,"  Veneer, Plywood, and Engineered Woods",4150,South
321219,  Reconstituted Wood Products,2882,South
3219,  Other Wood Products,1685,South
322,Paper,27762,South
322110,  Pulp Mills,1142,South
322121,"  Paper Mills, except Newsprint",8433,South
322122,  Newsprint Mills,3219,South
322130,  Paperboard Mills,9668,South
323,Printing and Related Support,4825,South
324,Petroleum and Coal Products,27233,South
324110,  Petroleum Refineries,26229,South
324121,  Asphalt Paving Mixture and Block,332,South
324199,  Other Petroleum and Coal Products,140,South
325,Chemicals,76423,South
325110,  Petrochemicals,6453,South
325120,  Industrial Gases,6902,South
325181,  Alkalies and Chlorine,5022,South
325182,  Carbon Black ,151,South
325188,  Other Basic Inorganic Chemicals,20178,South
325192,  Cyclic Crudes and Intermediates,1863,South
325193,  Ethyl Alcohol ,983,South
325199,  Other Basic Organic Chemicals,5182,South
325211,  Plastics Materials and Resins,15133,South
325212,  Synthetic Rubber,1146,South
325222,  Noncellulosic Organic Fibers,2732,South
325311,  Nitrogenous Fertilizers,1919,South
325312,  Phosphatic Fertilizers,998,South
3254,  Pharmaceuticals and Medicines,2927,South
325412,  Pharmaceutical Preparation,1794,South
325992,"  Photographic Film, Paper, Plate, and Chemicals",167,South
326,Plastics and Rubber Products,19154,South
327,Nonmetallic Mineral Products,14180,South
327121,  Brick and Structural Clay Tile,386,South
327211,  Flat Glass,665,South
327212,  Other Pressed and Blown Glass and Glassware,1407,South
327213,  Glass Containers,1192,South
327215,  Glass Products from Purchased Glass,989,South
327310,  Cements,3900,South
327410,  Lime,697,South
327420,  Gypsum,520,South
327993,  Mineral Wool,1205,South
331,Primary Metals,45397,South
331111,  Iron and Steel Mills,22133,South
331112,  Electrometallurgical Ferroalloy Products,1446,South
3312,  Steel Products from Purchased Steel,2849,South
3313,  Alumina and Aluminum,12833,South
331314,  Secondary Smelting and Alloying of Aluminum,316,South
331315,"  Aluminum Sheet, Plate and Foils",2092,South
331316,  Aluminum Extruded Products,412,South
3314,"  Nonferrous Metals, except Aluminum",3523,South
331419,"  Primary Smelting and Refining of Nonferrous Metals, except Copper and Aluminum",1929,South
3315,  Foundries,2612,South
331511,  Iron Foundries,1271,South
331521,  Aluminum Die-Casting Foundries,311,South
331524,"  Aluminum Foundries, except Die-Casting",138,South
332,Fabricated Metal Products,12909,South
333,Machinery,6103,South
334,Computer and Electronic Products,10078,South
334413,  Semiconductors and Related Devices,3192,South
335,"Electrical Equip., Appliances, and Components",5579,South
336,Transportation Equipment,11397,South
336111,  Automobiles,1233,South
336112,  Light Trucks and Utility Vehicles,1538,South
3364,  Aerospace Product and Parts,2972,South
336411,  Aircraft,1163,South
337,Furniture and Related Products,2180,South
339,Miscellaneous,2300,South
311,Food,11955,West
3112,  Grain and Oilseed Milling,806,West
311221,  Wet Corn Milling,64,West
31131,  Sugar Manufacturing,185,West
3114,  Fruit and Vegetable Preserving and Specialty Foods ,3633,West
3115,  Dairy Products,3272,West
3116,  Animal Slaughtering and Processing,1753,West
312,Beverage and Tobacco Products,2219,West
3121,  Beverages,2218,West
3122,  Tobacco ,1,West
313,Textile Mills,289,West
314,Textile Product Mills,Q,West
315,Apparel,90,West
316,Leather and Allied Products,31,West
321,Wood Products,3069,West
321113,  Sawmills,1028,West
3212,"  Veneer, Plywood, and Engineered Woods",1427,West
321219,  Reconstituted Wood Products,668,West
3219,  Other Wood Products,520,West
322,Paper,12760,West
322110,  Pulp Mills,178,West
322121,"  Paper Mills, except Newsprint",2285,West
322122,  Newsprint Mills,5736,West
322130,  Paperboard Mills,3543,West
323,Printing and Related Support,Q,West
324,Petroleum and Coal Products,6773,West
324110,  Petroleum Refineries,6520,West
324121,  Asphalt Paving Mixture and Block,220,West
324199,  Other Petroleum and Coal Products,-101,West
325,Chemicals,8957,West
325110,  Petrochemicals,0,West
325120,  Industrial Gases,1835,West
325181,  Alkalies and Chlorine,1830,West
325182,  Carbon Black ,1,West
325188,  Other Basic Inorganic Chemicals,2325,West
325192,  Cyclic Crudes and Intermediates,1,West
325193,  Ethyl Alcohol ,253,West
325199,  Other Basic Organic Chemicals,251,West
325211,  Plastics Materials and Resins,179,West
325212,  Synthetic Rubber,45,West
325222,  Noncellulosic Organic Fibers,1,West
325311,  Nitrogenous Fertilizers,169,West
325312,  Phosphatic Fertilizers,246,West
3254,  Pharmaceuticals and Medicines,991,West
325412,  Pharmaceutical Preparation,456,West
325992,"  Photographic Film, Paper, Plate, and Chemicals",241,West
326,Plastics and Rubber Products,8514,West
327,Nonmetallic Mineral Products,5325,West
327121,  Brick and Structural Clay Tile,39,West
327211,  Flat Glass,185,West
327212,  Other Pressed and Blown Glass and Glassware,97,West
327213,  Glass Containers,945,West
327215,  Glass Products from Purchased Glass,291,West
327310,  Cements,1752,West
327410,  Lime,246,West
327420,  Gypsum,205,West
327993,  Mineral Wool,468,West
331,Primary Metals,12209,West
331111,  Iron and Steel Mills,2919,West
331112,  Electrometallurgical Ferroalloy Products,*,West
3312,  Steel Products from Purchased Steel,113,West
3313,  Alumina and Aluminum,4951,West
331314,  Secondary Smelting and Alloying of Aluminum,27,West
331315,"  Aluminum Sheet, Plate and Foils",353,West
331316,  Aluminum Extruded Products,W,West
3314,"  Nonferrous Metals, except Aluminum",3503,West
331419,"  Primary Smelting and Refining of Nonferrous Metals, except Copper and Aluminum",2371,West
3315,  Foundries,722,West
331511,  Iron Foundries,99,West
331521,  Aluminum Die-Casting Foundries,36,West
331524,"  Aluminum Foundries, except Die-Casting",164,West
332,Fabricated Metal Products,3426,West
333,Machinery,1271,West
334,Computer and Electronic Products,9638,West
334413,  Semiconductors and Related Devices,4981,West
335,"Electrical Equip., Appliances, and Components",478,West
336,Transportation Equipment,4799,West
336111,  Automobiles,28,West
336112,  Light Trucks and Utility Vehicles,23,West
3364,  Aerospace Product and Parts,3615,West
336411,  Aircraft,655,West
337,Furniture and Related Products,408,West
339,Miscellaneous,2197,West
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
