,state_abbr,year,Market.Share,Market.Value,Number.of.Adopters,Installed.Capacity,Annual.Generation
577,AZ,2038,0.104006597,17934875.93,1261.01581,2.389680107,4.81472748
409,AZ,2040,0.101180002,17979127.46,1262.047104,2.397056817,4.827792141
224,CA,2014,0.16049298,86842385.67,5284.517202,10.01551594,20.17926152
227,CA,2016,0.157346058,86842385.67,5284.517202,10.01551594,20.17926152
90,CA,2018,0.152850457,86842385.67,5284.517202,10.01551594,20.17926152
410,CA,2020,0.149993439,86842385.67,5284.517202,10.01551594,20.17926152
363,CA,2022,0.147241266,86842385.67,5284.517202,10.01551594,20.17926152
400,CA,2024,0.14458827,86842385.67,5284.517202,10.01551594,20.17926152
397,CA,2026,0.140783315,86842385.67,5284.517202,10.01551594,20.17926152
579,CA,2028,0.139559113,86842385.67,5284.517202,10.01551594,20.17926152
528,CA,2030,0.137604123,87184893.05,5301.107187,10.0569909,20.28446285
356,CA,2032,0.137244758,87818642.11,5332.453172,10.13535587,20.48465825
47,CA,2034,0.135956454,88600753.17,5371.930088,10.23404816,20.73717206
68,CA,2036,0.135346224,89864112.42,5436.948877,10.39659513,21.13877552
460,CA,2038,0.133696616,91119583.06,5502.748989,10.56146747,21.54756191
638,CA,2040,0.133234262,92434491.76,5571.458747,10.73881579,21.98605145
660,CO,2014,0.11680059,13283237.92,872.5696433,1.654118411,3.333681438
665,CO,2016,0.112398039,13294964.94,872.9346308,1.655574349,3.337916999
344,CO,2018,0.108335243,13310300.65,873.4337141,1.657508417,3.343491313
156,CO,2020,0.105606572,13345998.27,874.8682542,1.661917403,3.356731598
105,CO,2022,0.102202032,13396525.55,876.9023047,1.66830776,3.375862337
145,CO,2024,0.099937689,13464484.24,879.6500963,1.677105094,3.401160178
141,CO,2026,0.09790022,13558587.88,883.4402673,1.689598205,3.435893475
306,CO,2028,0.096823813,13672562.12,888.050286,1.705086172,3.47795208
255,CO,2030,0.096888612,14228976.19,910.1440744,1.782911579,3.719515261
102,CO,2032,0.097585839,14936900.87,938.3478023,1.884271286,4.013385099
476,CO,2034,0.099219784,15858117.08,976.0759446,2.018686958,4.401383945
498,CO,2036,0.101899549,17028124.54,1025.049551,2.192855281,4.9056496
29,CO,2038,0.105483524,18433038.44,1084.508897,2.406690746,5.535012624
202,CO,2040,0.109115876,20042380.1,1154.137818,2.656580948,6.288919714
585,CT,2014,0.044327749,5519732.279,293.9345597,0.557018845,1.122281569
582,CT,2016,0.043441194,5519732.279,293.9345597,0.557018845,1.122281569
424,CT,2018,0.043011083,5519732.279,293.9345597,0.557018845,1.122281569
70,CT,2020,0.042175917,5519732.279,293.9345597,0.557018845,1.122281569
33,CT,2022,0.042175917,5519732.279,293.9345597,0.557018845,1.122281569
46,CT,2024,0.042175917,5519732.279,293.9345597,0.557018845,1.122281569
49,CT,2026,0.041770379,5519732.279,293.9345597,0.557018845,1.122281569
248,CT,2028,0.042175917,5519732.279,293.9345597,0.557018845,1.122281569
179,CT,2030,0.042175917,5519732.279,293.9345597,0.557018845,1.122281569
36,CT,2032,0.042175917,5519732.279,293.9345597,0.557018845,1.122281569
399,CT,2034,0.042175917,5519732.279,293.9345597,0.557018845,1.122281569
412,CT,2036,0.042175917,5519732.279,293.9345597,0.557018845,1.122281569
96,CT,2038,0.041770379,5519732.279,293.9345597,0.557018845,1.122281569
272,CT,2040,0.041372566,5519732.279,293.9345597,0.557018845,1.122281569
684,DC,2014,0.005466084,21979.88102,1.466126588,0.002778374,0.005597868
682,DC,2016,0.005355659,21979.88102,1.466126588,0.002778374,0.005597868
327,DC,2018,0.005198139,21979.88102,1.466126588,0.002778374,0.005597868
154,DC,2020,0.005049621,21979.88102,1.466126588,0.002778374,0.005597868
112,DC,2022,0.004909354,21979.88102,1.466126588,0.002778374,0.005597868
122,DC,2024,0.004820093,21979.88102,1.466126588,0.002778374,0.005597868
124,DC,2026,0.004692126,21979.88102,1.466126588,0.002778374,0.005597868
312,DC,2028,0.004570778,21979.88102,1.466126588,0.002778374,0.005597868
253,DC,2030,0.004493307,21979.88102,1.466126588,0.002778374,0.005597868
113,DC,2032,0.004381902,21979.88102,1.466126588,0.002778374,0.005597868
488,DC,2034,0.004310652,21979.88102,1.466126588,0.002778374,0.005597868
513,DC,2036,0.004208017,21979.88102,1.466126588,0.002778374,0.005597868
21,DC,2038,0.004110157,21979.88102,1.466126588,0.002778374,0.005597868
199,DC,2040,0.004016744,21979.88102,1.466126588,0.002778374,0.005597868
662,DE,2014,0.056565832,1640204.959,111.0469043,0.21043874,0.423991973
667,DE,2016,0.055423088,1640204.959,111.0469043,0.21043874,0.423991973
346,DE,2018,0.053792997,1640204.959,111.0469043,0.21043874,0.423991973
158,DE,2020,0.052256054,1640204.959,111.0469043,0.21043874,0.423991973
108,DE,2022,0.050804497,1640204.959,111.0469043,0.21043874,0.423991973
147,DE,2024,0.049880779,1640204.959,111.0469043,0.21043874,0.423991973
144,DE,2026,0.048556511,1640204.959,111.0469043,0.21043874,0.423991973
308,DE,2028,0.047300739,1640204.959,111.0469043,0.21043874,0.423991973
257,DE,2030,0.047129967,1692644.456,112.5536773,0.217972605,0.44081003
104,DE,2032,0.046674581,1752206.368,114.3000295,0.226704366,0.460302184
478,DE,2034,0.046809851,1826608.606,116.5260192,0.237834315,0.485147878
500,DE,2036,0.046751557,1914834.722,119.2194649,0.251301543,0.515211147
31,DE,2038,0.046794817,2009580.072,122.1709657,0.266059047,0.548154734
204,DE,2040,0.046948204,2111851.074,125.4219242,0.28231384,0.584440761
373,FL,2014,0.004525376,1738538.621,129.6417338,0.245676755,0.494989526
369,FL,2016,0.004433954,1738538.621,129.6417338,0.245676755,0.494989526
645,FL,2018,0.004303544,1738538.621,129.6417338,0.245676755,0.494989526
198,FL,2020,0.004180585,1738538.621,129.6417338,0.245676755,0.494989526
242,FL,2022,0.004064458,1738538.621,129.6417338,0.245676755,0.494989526
174,FL,2024,0.003990559,1738538.621,129.6417338,0.245676755,0.494989526
177,FL,2026,0.003884615,1738538.621,129.6417338,0.245676755,0.494989526
27,FL,2028,0.00378415,1738538.621,129.6417338,0.245676755,0.494989526
48,FL,2030,0.003724118,1744640.057,129.7848014,0.246664233,0.497251879
244,FL,2032,0.003639081,1755570.631,130.0455785,0.248469888,0.501382158
535,FL,2034,0.003592465,1774391.066,130.5016741,0.251643741,0.508624066
553,FL,2036,0.0035278,1805904.605,131.2783086,0.257068384,0.520978724
305,FL,2038,0.003476698,1853183.568,132.4570528,0.265380248,0.539810038
153,FL,2040,0.003437794,1915349.628,134.0207907,0.276544598,0.564944314
320,GA,2014,0.003241938,758320.7469,58.64505929,0.111134952,0.223914701
323,GA,2016,0.003176445,758320.7469,58.64505929,0.111134952,0.223914701
2,GA,2018,0.00308302,758320.7469,58.64505929,0.111134952,0.223914701
507,GA,2020,0.002994934,758320.7469,58.64505929,0.111134952,0.223914701
455,GA,2022,0.002911741,758320.7469,58.64505929,0.111134952,0.223914701
473,GA,2024,0.0028588,758320.7469,58.64505929,0.111134952,0.223914701
469,GA,2026,0.002782903,758320.7469,58.64505929,0.111134952,0.223914701
676,GA,2028,0.002710931,758320.7469,58.64505929,0.111134952,0.223914701
609,GA,2030,0.002664983,758320.7469,58.64505929,0.111134952,0.223914701
451,GA,2032,0.002598909,758320.7469,58.64505929,0.111134952,0.223914701
133,GA,2034,0.002556651,758320.7469,58.64505929,0.111134952,0.223914701
168,GA,2036,0.002495778,758320.7469,58.64505929,0.111134952,0.223914701
358,GA,2038,0.002439406,759486.7059,58.68522536,0.111335782,0.22432514
542,GA,2040,0.002387084,761670.9487,58.76200673,0.111719689,0.225109764
394,IA,2014,1.050790108,127601129.5,7867.862699,14.90994389,30.04055495
391,IA,2016,1.029345412,127601129.5,7867.862699,14.90994389,30.04055495
633,IA,2018,1.008758504,127601129.5,7867.862699,14.90994389,30.04055495
213,IA,2020,0.988978925,127601129.5,7867.862699,14.90994389,30.04055495
189,IA,2022,0.9699601,127601129.5,7867.862699,14.90994389,30.04055495
234,IA,2024,0.960722385,127601129.5,7867.862699,14.90994389,30.04055495
235,IA,2026,0.951658966,127601129.5,7867.862699,14.90994389,30.04055495
56,IA,2028,0.942764957,127601129.5,7867.862699,14.90994389,30.04055495
17,IA,2030,0.934035652,127601129.5,7867.862699,14.90994389,30.04055495
191,IA,2032,0.925466517,127601129.5,7867.862699,14.90994389,30.04055495
591,IA,2034,0.917053185,127601129.5,7867.862699,14.90994389,30.04055495
563,IA,2036,0.900677236,127601129.5,7867.862699,14.90994389,30.04055495
250,IA,2038,0.892706641,127601129.5,7867.862699,14.90994389,30.04055495
82,IA,2040,0.8696194,127601129.5,7867.862699,14.90994389,30.04055495
126,ID,2014,0.372384625,17576872.58,1144.43573,2.168755757,4.369609099
121,ID,2016,0.358198544,17576872.58,1144.43573,2.168755757,4.369609099
209,ID,2018,0.345053643,17576872.58,1144.43573,2.168755757,4.369609099
655,ID,2020,0.335811135,17576872.58,1144.43573,2.168755757,4.369609099
608,ID,2022,0.324231441,17576872.58,1144.43573,2.168755757,4.369609099
680,ID,2024,0.316057539,17576872.58,1144.43573,2.168755757,4.369609099
686,ID,2026,0.308285632,17576872.58,1144.43573,2.168755757,4.369609099
481,ID,2028,0.303313283,17576872.58,1144.43573,2.168755757,4.369609099
459,ID,2030,0.296148402,17576872.58,1144.43573,2.168755757,4.369609099
613,ID,2032,0.289314209,17576872.58,1144.43573,2.168755757,4.369609099
310,ID,2034,0.282788324,17576872.58,1144.43573,2.168755757,4.369609099
286,ID,2036,0.276550346,17576872.58,1144.43573,2.168755757,4.369609099
532,ID,2038,0.270581634,17576872.58,1144.43573,2.168755757,4.369609099
339,ID,2040,0.263012917,17576872.58,1144.43573,2.168755757,4.369609099
348,IL,2014,0.072580827,20737501.29,1232.064707,2.334816501,4.704188286
343,IL,2016,0.071143583,20737501.29,1232.064707,2.334816501,4.704188286
664,IL,2018,0.069762154,20737501.29,1232.064707,2.334816501,4.704188286
182,IL,2020,0.069091753,20738009.88,1232.071638,2.334885807,4.704372298
217,IL,2022,0.068435367,20740109.94,1232.100986,2.33517929,4.705123084
193,IL,2024,0.067809996,20766078.09,1232.468961,2.338859038,4.713895993
195,IL,2026,0.067844138,20807913.28,1233.089509,2.344896174,4.728270774
9,IL,2028,0.067919035,20896573.66,1234.450786,2.357807904,4.758884635
73,IL,2030,0.068963944,21905529.38,1265.267275,2.497455557,5.116899323
218,IL,2032,0.071474669,23348443.84,1311.331038,2.700053609,5.647975828
549,IL,2034,0.074880917,25211849.12,1373.824771,2.965479838,6.337199462
538,IL,2036,0.079037497,27794957.13,1463.636877,3.339784072,7.2917938
288,IL,2038,0.084320134,30912083.5,1575.92009,3.79883717,8.453188237
130,IL,2040,0.090698918,34657434.08,1710.689531,4.362492024,9.8519007
187,IN,2014,0.047371982,9596364.799,639.1694733,1.211254104,2.440434769
186,IN,2016,0.046433923,9596364.799,639.1694733,1.211254104,2.440434769
155,IN,2018,0.045532293,9596364.799,639.1694733,1.211254104,2.440434769
328,IN,2020,0.045094918,9596601.122,639.1756465,1.21128497,2.440523191
395,IN,2022,0.044666784,9597321.148,639.1948387,1.211380931,2.440798092
357,IN,2024,0.044247886,9598642.252,639.2307712,1.211560594,2.441312774
359,IN,2026,0.044251351,9600445.45,639.2808171,1.211810823,2.442029609
536,IN,2028,0.044255254,9602436.844,639.337214,1.212092808,2.442837414
575,IN,2030,0.044252537,9880428.41,645.329065,1.255041446,2.552829367
398,IN,2032,0.044967478,10368352.55,655.7549573,1.33259173,2.741379176
34,IN,2034,0.045943918,11042466.76,669.9942634,1.442302897,2.999580016
10,IN,2036,0.04679921,11895943.32,688.8450631,1.582793263,3.331638318
470,IN,2038,0.048014879,12930544.28,713.2825813,1.754661446,3.746065143
644,IN,2040,0.050077859,14355910.41,750.7541077,1.993951885,4.316046828
4,KS,2014,0.3490361,33549373.39,2116.201591,4.010294561,8.079941482
3,KS,2016,0.341917262,33550421.61,2116.228498,4.010429094,8.080356243
324,KS,2018,0.335091015,33553338.75,2116.304906,4.010811134,8.081534063
533,KS,2020,0.328703116,33592047.27,2117.48064,4.015878619,8.098689187
555,KS,2022,0.322576601,33632372.53,2118.75947,4.021244456,8.116491239
550,KS,2024,0.319721366,33674871.07,2120.197973,4.026966826,8.135324716
552,KS,2026,0.316968661,33724993.32,2121.962216,4.033829372,8.157570063
330,KS,2028,0.314371807,33795482.38,2124.431955,4.043727615,8.189062951
413,KS,2030,0.313957946,34246661.71,2141.463566,4.107739278,8.421714845
559,KS,2032,0.313616832,34701329.73,2158.943697,4.173546935,8.646235834
197,KS,2034,0.313085868,35116448.31,2175.061823,4.234941186,8.855313948
176,KS,2036,0.310015129,35589109.37,2192.887574,4.30685809,9.097372615
648,KS,2038,0.310171221,36129403.32,2213.580899,4.390806677,9.377335472
489,KS,2040,0.306123369,36956910.8,2242.693528,4.524157876,9.819225187
71,KY,2014,0.010950671,1457490.446,108.7148188,0.206019336,0.415087758
65,KY,2016,0.010628592,1457490.446,108.7148188,0.206019336,0.415087758
267,KY,2018,0.010324918,1457490.446,108.7148188,0.206019336,0.415087758
586,KY,2020,0.010038115,1457490.446,108.7148188,0.206019336,0.415087758
543,KY,2022,0.009855604,1457490.446,108.7148188,0.206019336,0.415087758
567,KY,2024,0.009593951,1457490.446,108.7148188,0.206019336,0.415087758
568,KY,2026,0.009509793,1457490.446,108.7148188,0.206019336,0.415087758
407,KY,2028,0.009427099,1457490.446,108.7148188,0.206019336,0.415087758
341,KY,2030,0.009265952,1457490.446,108.7148188,0.206019336,0.415087758
547,KY,2032,0.009187427,1457490.446,108.7148188,0.206019336,0.415087758
215,KY,2034,0.009034303,1457490.446,108.7148188,0.206019336,0.415087758
229,KY,2036,0.00895964,1457490.446,108.7148188,0.206019336,0.415087758
634,KY,2038,0.008813955,1457490.446,108.7148188,0.206019336,0.415087758
456,KY,2040,0.008672931,1457490.446,108.7148188,0.206019336,0.415087758
200,LA,2014,0.003191341,331801.7308,25.66526523,0.0486368,0.097993425
206,LA,2016,0.00310016,331801.7308,25.66526523,0.0486368,0.097993425
127,LA,2018,0.003014044,331801.7308,25.66526523,0.0486368,0.097993425
350,LA,2020,0.002959243,331801.7308,25.66526523,0.0486368,0.097993425
418,LA,2022,0.0029064,331801.7308,25.66526523,0.0486368,0.097993425
335,LA,2024,0.00285541,331801.7308,25.66526523,0.0486368,0.097993425
331,LA,2026,0.002806179,331801.7308,25.66526523,0.0486368,0.097993425
551,LA,2028,0.002758617,331801.7308,25.66526523,0.0486368,0.097993425
554,LA,2030,0.002735435,331801.7308,25.66526523,0.0486368,0.097993425
415,LA,2032,0.002691777,333429.1636,25.68010378,0.048933571,0.098550958
12,LA,2034,0.002655963,339340.1156,25.7572522,0.050001238,0.100565812
26,LA,2036,0.002634133,354160.7592,25.96092054,0.052738048,0.105620278
502,LA,2038,0.002632819,382355.3884,26.36313409,0.0580549,0.115366182
663,LA,2040,0.002648278,436451.7282,27.14434589,0.068489348,0.134214797
43,MA,2014,0.201458092,42479003.8,2203.342736,4.175430841,8.412658058
40,MA,2016,0.19742893,42479003.8,2203.342736,4.175430841,8.412658058
282,MA,2018,0.195474188,42479003.8,2203.342736,4.175430841,8.412658058
565,MA,2020,0.191690833,42485527.52,2203.483663,4.176135474,8.415023934
519,MA,2022,0.191701551,42491116.87,2203.606869,4.176751505,8.417092322
589,MA,2024,0.191710646,42495765.05,2203.71142,4.17727426,8.418847523
592,MA,2026,0.189882976,42503705.23,2203.893662,4.178185472,8.421907009
382,MA,2028,0.191750483,42515476.39,2204.169347,4.179563895,8.426535202
368,MA,2030,0.191794854,42534590.59,2204.679381,4.18180851,8.434593476
524,MA,2032,0.191854639,42556632.51,2205.366612,4.184384318,8.44318895
237,MA,2034,0.191902976,42573551.24,2205.922246,4.186388905,8.449834079
210,MA,2036,0.191947397,42590200.17,2206.432866,4.188432144,8.456239088
615,MA,2038,0.190471435,42747831.72,2210.723665,4.208567234,8.507454731
431,MA,2040,0.189074142,42910445.17,2215.606873,4.229505682,8.562186925
601,MD,2014,0.074054576,9742275.179,672.3911278,1.274210592,2.567279501
599,MD,2016,0.072558524,9742275.179,672.3911278,1.274210592,2.567279501
416,MD,2018,0.07042445,9742275.179,672.3911278,1.274210592,2.567279501
87,MD,2020,0.068412323,9742275.179,672.3911278,1.274210592,2.567279501
129,MD,2022,0.066511981,9742275.179,672.3911278,1.274210592,2.567279501
116,MD,2024,0.065302672,9742275.179,672.3911278,1.274210592,2.567279501
119,MD,2026,0.063568973,9742275.179,672.3911278,1.274210592,2.567279501
252,MD,2028,0.061924948,9742275.179,672.3911278,1.274210592,2.567279501
315,MD,2030,0.060901296,9761162.065,672.6774622,1.277073936,2.574449651
132,MD,2032,0.05942079,9782719.25,673.0109494,1.280408808,2.582800564
448,MD,2034,0.058492023,9807467.176,673.4418299,1.28429581,2.592450284
419,MD,2036,0.057172342,9848272.744,674.3026468,1.290765265,2.608125937
51,MD,2038,0.055967395,9919207.259,675.8077057,1.302257455,2.634647543
219,MD,2040,0.054877074,10025680.82,678.0523363,1.319892678,2.674095659
294,ME,2014,0.339780785,26982525.73,1398.498787,2.650216361,5.339655924
297,ME,2016,0.33298517,26982525.73,1398.498787,2.650216361,5.339655924
13,ME,2018,0.329688287,26982525.73,1398.498787,2.650216361,5.339655924
479,ME,2020,0.323286572,26982525.73,1398.498787,2.650216361,5.339655924
432,ME,2022,0.323286572,26982525.73,1398.498787,2.650216361,5.339655924
505,ME,2024,0.323286572,26982525.73,1398.498787,2.650216361,5.339655924
497,ME,2026,0.320178048,26982525.73,1398.498787,2.650216361,5.339655924
653,ME,2028,0.323286572,26982525.73,1398.498787,2.650216361,5.339655924
627,ME,2030,0.323286572,26982525.73,1398.498787,2.650216361,5.339655924
426,ME,2032,0.323286572,26982525.73,1398.498787,2.650216361,5.339655924
160,ME,2034,0.323286572,26982525.73,1398.498787,2.650216361,5.339655924
138,ME,2036,0.323286572,26982525.73,1398.498787,2.650216361,5.339655924
334,ME,2038,0.320178048,26982525.73,1398.498787,2.650216361,5.339655924
520,ME,2040,0.317128733,26982525.73,1398.498787,2.650216361,5.339655924
175,MI,2014,0.099964337,31106391.32,2029.634203,3.846245575,7.749415585
180,MI,2016,0.097987314,31108400.89,2029.685343,3.846501274,7.749852865
169,MI,2018,0.09610993,31128730.24,2030.219405,3.849136645,7.754358986
336,MI,2020,0.095364035,31263660.21,2034.021056,3.866889269,7.79286128
387,MI,2022,0.094662151,31414789.74,2038.464512,3.887112916,7.838946846
374,MI,2024,0.094035149,31594617.63,2044.247949,3.911402576,7.894460407
371,MI,2026,0.094308127,31767883.85,2050.182273,3.935114897,7.948216597
523,MI,2028,0.094714206,32060975.38,2059.01009,3.977106003,8.038315632
580,MI,2030,0.096534962,34004556.3,2118.389897,4.262653807,8.632516996
383,MI,2032,0.100010622,36455046.86,2194.660734,4.630350516,9.443880153
19,MI,2034,0.104083786,39290458.63,2284.043386,5.065159101,10.38825525
1,MI,2036,0.108066423,42716671.91,2393.602451,5.601908267,11.53168127
491,MI,2038,0.112945836,46626472.68,2524.842039,6.224534865,12.83966246
649,MI,2040,0.119596435,51472666.4,2698.04016,7.007186359,14.45859611
594,MN,2014,0.34661171,71136969.3,4345.126851,8.234205402,16.59027704
588,MN,2016,0.339538002,71136969.3,4345.126851,8.234205402,16.59027704
420,MN,2018,0.332747242,71136969.3,4345.126851,8.234205402,16.59027704
74,MN,2020,0.326301083,71189981.57,4346.169731,8.241260098,16.6130113
25,MN,2022,0.320106646,71243899.67,4347.26411,8.248572788,16.63657561
38,MN,2024,0.317147718,71301527.12,4348.494101,8.256519992,16.66214665
41,MN,2026,0.314252353,71360043.3,4349.831148,8.264694635,16.68838518
241,MN,2028,0.311456529,71428325.67,4351.80285,8.27415253,16.71856732
183,MN,2030,0.309565098,71867972.58,4365.799042,8.335645803,16.92117104
28,MN,2032,0.30777351,72338241.64,4380.722374,8.402971713,17.15301182
393,MN,2034,0.306014241,72806759.18,4395.642038,8.471572576,17.38648379
417,MN,2036,0.301777321,73372095.53,4413.596401,8.55626753,17.66905071
100,MN,2038,0.300468449,73983216.12,4433.689894,8.649433479,17.97601936
274,MN,2040,0.294368192,74726321.04,4458.993775,8.764667596,18.35250953
92,MO,2014,0.045154444,8022553.297,541.64421,1.026439465,2.068070234
89,MO,2016,0.044232925,8022553.297,541.64421,1.026439465,2.068070234
226,MO,2018,0.043348266,8022553.297,541.64421,1.026439465,2.068070234
611,MO,2020,0.042504574,8025559.341,541.7241671,1.02683925,2.069142276
652,MO,2022,0.041699232,8032124.221,541.8808118,1.027744897,2.071502378
624,MO,2024,0.041328104,8048701.311,542.222027,1.030115855,2.077427993
625,MO,2026,0.041007714,8089461.086,543.142519,1.036032302,2.09178362
428,MO,2028,0.040735796,8154411.57,544.6309958,1.045656957,2.11483326
509,MO,2030,0.041043334,8458436.039,553.8711728,1.090323785,2.232664985
656,MO,2032,0.041714113,8940820.984,568.1354432,1.163349062,2.425217943
278,MO,2034,0.042703895,9610889.021,586.9519424,1.268120925,2.696694508
265,MO,2036,0.04370469,10526086.75,611.6295214,1.415401814,3.072944822
557,MO,2038,0.045341677,11585732.4,640.204022,1.589796598,3.514894467
390,MO,2040,0.046538343,12838942.44,674.5455395,1.800087013,4.040867884
354,MS,2014,0.002887163,241654.8766,18.2352462,0.034556589,0.069624616
352,MS,2016,0.002802247,241654.8766,18.2352462,0.034556589,0.069624616
659,MS,2018,0.002722182,241654.8766,18.2352462,0.034556589,0.069624616
205,MS,2020,0.002646566,241654.8766,18.2352462,0.034556589,0.069624616
232,MS,2022,0.002598447,241654.8766,18.2352462,0.034556589,0.069624616
190,MS,2024,0.002529461,241654.8766,18.2352462,0.034556589,0.069624616
192,MS,2026,0.002507273,241654.8766,18.2352462,0.034556589,0.069624616
18,MS,2028,0.002485471,241654.8766,18.2352462,0.034556589,0.069624616
52,MS,2030,0.002442984,241654.8766,18.2352462,0.034556589,0.069624616
238,MS,2032,0.002422281,241654.8766,18.2352462,0.034556589,0.069624616
522,MS,2034,0.00238191,241654.8766,18.2352462,0.034556589,0.069624616
540,MS,2036,0.002362224,241654.8766,18.2352462,0.034556589,0.069624616
313,MS,2038,0.002323814,241654.8766,18.2352462,0.034556589,0.069624616
163,MS,2040,0.002286633,241654.8766,18.2352462,0.034556589,0.069624616
454,MT,2014,0.570303188,21785932.75,1453.488888,2.754425006,5.549615502
461,MT,2016,0.548577353,21785932.75,1453.488888,2.754425006,5.549615502
558,MT,2018,0.528446074,21785932.75,1453.488888,2.754425006,5.549615502
270,MT,2020,0.514291268,21785932.75,1453.488888,2.754425006,5.549615502
322,MT,2022,0.496557086,21785932.75,1453.488888,2.754425006,5.549615502
254,MT,2024,0.484038841,21785932.75,1453.488888,2.754425006,5.549615502
251,MT,2026,0.472136246,21785932.75,1453.488888,2.754425006,5.549615502
118,MT,2028,0.464521145,21785932.75,1453.488888,2.754425006,5.549615502
123,MT,2030,0.453565344,21787451.29,1453.543815,2.754638487,5.550342407
318,MT,2032,0.443119895,21790495.52,1453.614156,2.755098882,5.551739277
620,MT,2034,0.433153376,21793877.12,1453.710366,2.755611985,5.553345559
637,MT,2036,0.423685953,21803615.46,1454.010412,2.757111635,5.557842839
228,MT,2038,0.414677233,21817577.69,1454.485964,2.759277165,5.564614705
64,MT,2040,0.403232382,21833504.93,1455.043513,2.761794689,5.572614951
450,NC,2014,0.008677928,2102593.641,161.186056,0.305454625,0.615429978
447,NC,2016,0.008502617,2102593.641,161.186056,0.305454625,0.615429978
566,NC,2018,0.00825254,2102593.641,161.186056,0.305454625,0.615429978
284,NC,2020,0.008016753,2102593.641,161.186056,0.305454625,0.615429978
298,NC,2022,0.007794065,2102593.641,161.186056,0.305454625,0.615429978
259,NC,2024,0.007652355,2102593.641,161.186056,0.305454625,0.615429978
260,NC,2026,0.007449195,2102593.641,161.186056,0.305454625,0.615429978
95,NC,2028,0.007256544,2102593.641,161.186056,0.305454625,0.615429978
150,NC,2030,0.007137015,2105048.657,161.2643309,0.305846,0.616340469
302,NC,2032,0.006966032,2109298.627,161.402601,0.30653735,0.61794882
602,NC,2034,0.006864765,2117032.431,161.6852687,0.307800203,0.620971658
631,NC,2036,0.00671948,2128573.189,162.1234599,0.309716885,0.62558544
247,NC,2038,0.006592644,2146676.595,162.850468,0.312760047,0.632958707
80,NC,2040,0.0064855,2172631.469,163.9294787,0.317196382,0.643800716
571,ND,2014,0.108753733,2821978.421,177.5920483,0.336544698,0.678070258
573,ND,2016,0.106534269,2821978.421,177.5920483,0.336544698,0.678070258
437,ND,2018,0.104403584,2821978.421,177.5920483,0.336544698,0.678070258
