"building_type","gtc_btu_per_hftF","baseline_electricity_consumption_kwh","baseline_natural_gas_consumption_mbtu","baseline_site_energy_mbtu","baseline_source_energy_mbtu","baseline_carbon_emissions_mt","baseline_energy_cost","baseline_peak_electricity_demand_kw","gshp_electricity_consumption_kwh","gshp_natural_gas_consumption_mbtu","gshp_site_energy_mbtu","gshp_source_energy_mbtu","gshp_carbon_emissions_mt","gshp_energy_cost","gshp_peak_electricity_demand_kw","savings_abs_electricity_consumption_kwh","savings_abs_natural_gas_consumption_mbtu","savings_abs_site_energy_mbtu","savings_abs_source_energy_mbtu","savings_abs_carbon_emissions_mt","savings_abs_energy_cost","savings_abs_peak_electricity_demand_kw","savings_pct_electricity_consumption_kwh","savings_pct_natural_gas_consumption_mbtu","savings_pct_site_energy_mbtu","savings_pct_source_energy_mbtu","savings_pct_carbon_emissions_mt","savings_pct_energy_cost","savings_pct_peak_electricity_demand_kw","total_ghx_length","cooling_capacity_ton","length_per_ton_of_capacity_ft_ton","max_lft_f","min_lft_f","city","climate_zone"
"School",0.628,895900,1239.6,4297.3067,11881.3273681,791.880507211701,100813.559333333,937.77,897200,0,3062.1436,10542.9604148,708.11574939336,91634.0266666667,861.869,-1300.00000000012,1239.6,1235.1631,1338.3669533,83.7647578183414,9179.53266666667,75.901,,,,,,,,160000,589,271.646859083192,90.2,56.6,"Albuquerque","4B"
"Small Hotel",0.628,214350,154.6,886.17655,2687.64126165,179.750800011152,23088.327,104.044,161600,135.5,687.0408,2046.9209744,136.811351299238,17535.2466666667,100.184,52750,19.1,199.13575,640.72028725,42.9394487119136,5553.08033333333,3.86,,,,,,,,22200,77,288.311688311688,80.4,59.7,"Albuquerque","4B"
"Medium Office",1.505,144764000,265,494079.797,1701405.208676,114273.218238473,14787.1509666667,198.061,128560,0,438.77528,1510.70328904,101.466073051728,13130.2613333333,157.62,144635440,265,493641.02172,1699894.50538696,114171.752165421,1656.88963333333,40.441,,,,,,,,22200,116,191.379310344828,80.2,52.2,"Albuquerque","4B"
"School",1.505,895900,1239.6,4297.3067,11881.3273681,791.880507211701,100813.559333333,937.77,845800,0,2886.7154,9938.9611222,667.54826219004,86384.3733333333,814.797,50099.9999999999,1239.6,1410.5913,1942.3662459,124.332245021661,14429.186,122.973,,,,,,,,126000,589,213.921901528014,80.9,53,"Albuquerque","4B"
"Small Hotel",1.505,214350,154.6,886.17655,2687.64126165,179.750800011152,23088.327,104.044,159840,135.5,681.03392,2026.23928656,135.42227002535,17355.492,100.078,54510,19.1,205.14263,661.40197509,44.3285299858016,5732.835,3.96599999999999,,,,,,,,12800,77,166.233766233766,80.8,55.5,"Albuquerque","4B"
"Medium Office",1.418,180455,2.105,617.997915,2122.817966345,142.568225003708,14398.2303466667,113.196,116839.45,1.857,400.63004285,1375.00343053255,92.3426424923823,9326.74736083333,97.279,63615.55,0.248,217.36787215,747.81453581245,50.2255825113253,5071.48298583333,15.917,,,,,,,,9120,814.661,134.338086639719,88.7,54,"Seattle","4C"
"School",1.418,604400,2109.4,4172.2172,9405.7444196,621.309745452642,67319.0506666667,711.146,588800,0,2009.5744,6918.9646592,464.71082617344,46917.5466666667,676.477,15600,2109.4,2162.6428,2486.7797604,156.598919279202,20401.504,34.669,,,,,,,,80000,448,178.571428571429,80.7,44.9,"Seattle","4C"
"Small Hotel",1.418,180460,210.5,826.40998,2350.44406114,156.826749654806,16277.0973333333,119.259,127000,185.7,619.151,1695.156193,112.937043071437,11778.8353333333,98.019,53460,24.8,207.25898,655.28786814,43.8897065833688,4498.262,21.24,,,,,,,,10800,68,158.823529411765,80,50,"Seattle","4C"
"Medium Office",1.0474,180455000,2105,615895.02,2122817.966345,142568.225003708,14398.2303466667,113.196,86410,0,294.91733,1015.40036719,68.199155043558,6885.43683333333,152.16,180368590,2105,615600.10267,2121802.56597781,142500.025848664,7512.79351333333,-38.964,,,,,,,,17400,110,158.181818181818,80.6,42.5,"Seattle","4C"
"School",1.0474,604400,2109.4,4172.2172,9405.7444196,621.309745452642,67319.0506666667,711.146,586300,0,2001.0419,6889.5872617,462.73769936394,46718.3383333333,667.051,18099.9999999999,2109.4,2171.1753,2516.1571579,158.572046088702,20600.7123333333,44.0949999999999,,,,,,,,102000,448,227.678571428571,80.4,50.6,"Seattle","4C"
"Small Hotel",1.0474,180460,210.5,826.40998,2350.44406114,156.826749654806,16277.0973333333,119.259,127570,185.7,621.09641,1701.85423963,113.386915984003,11824.2548333333,97.975,52890,24.8,205.31357,648.58982151,43.4398336708028,4452.8425,21.284,,,,,,,,16000,68,235.294117647059,80.4,50.6,"Seattle","4C"
"Medium Office",1.91881856898064,180455000,2105,615895.02,2122817.966345,142568.225003708,14398.2303466667,113.196,85800,0,292.8354,1008.2322822,67.71771210204,6836.83,151.966,180369200,2105,615602.1846,2121809.7340628,142500.507291606,7561.40034666667,-38.77,,,,,,,,12900,110,117.272727272727,80.4,38.9,"Seattle","4C"
"School",1.91881856898064,604400,2109.4,4172.2172,9405.7444196,621.309745452642,67319.0506666667,711.146,584700,0,1995.5811,6870.7857273,461.47489820586,46590.845,671.866,19700,2109.4,2176.6361,2534.9586923,159.834847246782,20728.2056666667,39.28,,,,,,,,74000,448,165.178571428571,80.8,44.2,"Seattle","4C"
"Small Hotel",1.91881856898064,180460,210.5,826.40998,2350.44406114,156.826749654806,16277.0973333333,119.259,126440,185.7,617.23972,1688.57565596,112.495062666109,11734.2126666667,98.111,54020,24.8,209.17026,661.86840518,44.3316869886968,4542.88466666666,21.148,,,,,,,,9000,68,132.352941176471,80.3,48.7,"Seattle","4C"
"Medium Office",1.726,198229,0.721,677.276577,2330.168183611,156.501699375045,18364.6152666667,248.014,118948.96,0,405.97280048,1397.76435205264,93.8805527752572,11016.6561786667,162.414,79280.04,0.721,271.30377652,932.40383155836,62.6211465997875,7347.959088,85.6,,,,,,,,33180,1507.51,264.117650960856,80.7,56.6,"Chicago","5A"
"School",1.726,924600,4220,7375.6598,15473.1766914,1018.3965172766,120393.87,1073.17,930600,0,3176.1378,10935.4424454,734.47672356828,86189.07,922.1,-6000.00000000012,4220,4199.522,4537.734246,283.91979370832,34204.8,151.07,,,,,,,,126000,710,177.464788732394,80.6,39.5,"Chicago","5A"
"Small Hotel",1.726,268170,261.9,1177.16421,3437.24947503,229.567779530258,27133.3325,187.869,181830,169.7,790.28579,2321.98927497,155.117232587055,18404.1405,127.496,86340,92.2,386.87842,1115.26020006,74.4505469432032,8729.19200000001,60.373,,,,,,,,11100,82,135.365853658537,80.3,40.9,"Chicago","5A"
"Medium Office",1.439,198229000,721,676556.298,2330168.183611,156501.699375045,18364.6152666667,248.014,135200,0,461.4376,1588.7296568,106.70669785776,12521.7733333333,174.956,198093800,721,676094.8604,2328579.4539542,156394.992677187,5842.84193333333,73.058,,,,,,,,22200,151,147.019867549669,80.7,37.1,"Chicago","5A"
"School",1.439,924600,4220,7375.6598,15473.1766914,1018.3965172766,120393.87,1073.17,932500,0,3182.6225,10957.7692675,735.9762999435,86365.0416666667,922.4,-7900.00000000012,4220,4193.0373,4515.4074239,282.4202173331,34028.8283333333,150.77,,,,,,,,136000,710,191.549295774648,80.6,39.8,"Chicago","5A"
"Small Hotel",1.439,268170,261.9,1177.16421,3437.24947503,229.567779530258,27133.3325,187.869,181770,169.7,790.08101,2321.28421743,155.069877543627,18398.5835,127.45,86400,92.2,387.0832,1115.9652576,74.4979019866312,8734.74900000001,60.419,,,,,,,,12400,82,151.219512195122,79.8,41.2,"Chicago","5A"
"Medium Office",2.072,198229000,721,676556.298,2330168.183611,156501.699375045,18364.6152666667,248.014,134800,0,460.0724,1584.0292732,106.39099756824,12484.7266666667,174.824,198094200,721,676096.2256,2328584.1543378,156395.308377476,5879.8886,73.19,,,,,,,,18600,151,123.17880794702,80.8,35,"Chicago","5A"
"School",2.072,924600,4220,7375.6598,15473.1766914,1018.3965172766,120393.87,1073.17,923800,0,3152.9294,10855.5359242,729.10981864644,85559.2766666667,912.54,799.999999999884,4220,4222.7304,4617.6407672,289.28669863016,34834.5933333333,160.63,,,,,,,,122500,710,172.535211267606,80.6,39.6,"Chicago","5A"
"Small Hotel",2.072,268170,261.9,1177.16421,3437.24947503,229.567779530258,27133.3325,187.869,181740,169.7,789.97862,2320.93168866,155.046200021913,16832.153,127.644,86430,92.2,387.18559,1116.31778637,74.5215795083452,10301.1795,60.225,,,,,,,,9900,82,120.731707317073,80.8,39.9,"Chicago","5A"
"Medium Office",1.177,159803,0.712,546.119639,1878.616005077,126.173335446741,12739.1318166667,239.578,107647.96,0,367.40248748,1264.96676439364,84.9612303455934,8577.74827933333,159.455,52155.04,0.712,178.71715152,613.64924068336,41.2121051011479,4161.38353733333,80.123,,,,,,,,19500,1395.89,167.634985564765,91.5,50.7,"Denver","5B"
"School",1.177,822100,2381,5186.8273,12260.5153939,811.707537727856,84341.3213333333,976.05,812300,0,2772.3799,9545.3039957,641.10836294274,64726.7716666667,824.6,9800,2381,2414.4474,2715.2113982,170.599174785116,19614.5496666667,151.45,,,,,,,,114000,613,185.970636215334,81.2,44.2,"Denver","5B"
"Small Hotel",1.177,222260,210.3,968.87338,2841.41574734,189.803749563767,19399.7606666667,124.01,158360,163.3,703.78268,2039.20546724,136.155747031335,13927.0126666667,100.664,63900,47,265.0907,802.2102801,53.648002532432,5472.748,23.346,,,,,,,,11700,77,151.948051948052,80,46.7,"Denver","5B"
"Medium Office",0.884,159803000,712,545408.351,1878616.005077,126173.335446741,12739.1318166667,239.578,118780,0,405.39614,1395.77891002,93.747200972964,9464.78633333333,157.496,159684220,712,545002.95486,1877220.22616698,126079.588245768,3274.34548333333,82.082,,,,,,,,24000,116,206.896551724138,80.7,46.2,"Denver","5B"
"School",0.884,822100,2381,5186.8273,12260.5153939,811.707537727856,84341.3213333333,976.05,813900,0,2777.8407,9564.1055301,642.37116410082,64854.265,822.24,8200,2381,2408.9866,2696.4098638,169.336373627036,19487.0563333333,153.81,,,,,,,,136000,613,221.859706362153,79.5,47.1,"Denver","5B"
"Small Hotel",0.884,222260,210.3,968.87338,2841.41574734,189.803749563767,19399.7606666667,124.01,158290,163.3,703.54377,2038.38290011,136.100499480669,13921.4348333333,95.628,63970,47,265.32961,803.03284723,53.703250083098,5478.32583333333,28.382,,,,,,,,14625,77,189.935064935065,80.1,47.6,"Denver","5B"
"Medium Office",1.568,159803000,712,545408.351,1878616.005077,126173.335446741,12739.1318166667,239.578,117870,0,402.29031,1385.08553733,93.028982814306,9392.2745,157.953,159685130,712,545006.06069,1877230.91953967,126080.306463927,3346.85731666666,81.625,,,,,,,,16500,116,142.241379310345,80.9,41.7,"Denver","5B"
"School",1.568,822100,2381,5186.8273,12260.5153939,811.707537727856,84341.3213333333,976.05,807200,0,2754.9736,9485.3741048,637.08318425136,64320.3866666667,822.27,14900,2381,2431.8537,2775.1412891,174.624353476496,20020.9346666667,153.78,,,,,,,,99000,613,161.500815660685,80.8,43,"Denver","5B"
"Small Hotel",1.568,222260,210.3,968.87338,2841.41574734,189.803749563767,19399.7606666667,124.01,157430,163.3,700.60859,2028.27707537,135.421743858201,13852.9071666667,98.421,64830,47,268.26479,813.13867197,54.382005705566,5546.8535,25.589,,,,,,,,9900,77,128.571428571429,80.3,45.3,"Denver","5B"
"Medium Office",0.997,255000,2.607,872.922,2999.341389,201.437257877535,25122.2809,278.324,98881.98,0,337.48419774,1161.95809281882,78.0426742857771,9733.282898,166.315,156118.02,2.607,535.43780226,1837.38329618118,123.394583591758,15388.998002,112.009,,,,,,,,23400,1870.53,150.117881028372,80.7,39.8,"Minneapolis","6A"
"School",0.997,835300,6170,9020.8789,16553.2160527,1081.29979996346,134338.463333333,996.748,952800,0,3251.9064,11196.3137352,751.99808963664,93787.28,835.32,-117500,6170,5768.9725,5356.9023175,329.30171032682,40551.1833333333,161.428,,,,,,,,120000,633,189.57345971564,80.7,31.2,"Minneapolis","6A"
"Small Hotel",0.997,301600,347.6,1376.9608,3923.6684344,261.81445943613,32664.5153333333,202.885,185530,115.9,749.11389,2306.71822327,154.35744722361,19222.0633333333,106.106,116070,231.7,627.84691,1616.95021113,107.457012212519,13442.452,96.779,,,,,,,,27750,80,346.875,80.8,63.1,"Minneapolis","6A"
"Medium Office",0.766,2.55e+08,2607,870317.607,2999341.389,201437.257877535,25122.2809,278.324,141160,0,481.77908,1658.76537244,111.410632171608,13894.8493333333,175.087,254858840,2607,869835.82792,2997682.62362756,201325.847245364,11227.4315666667,103.237,,,,,,,,27750,116,239.224137931034,80.9,30.1,"Minneapolis","6A"
"School",0.766,835300,6170,9020.8789,16553.2160527,1081.29979996346,134338.463333333,996.748,954300,0,3257.0259,11213.9401737,753.18196572234,93934.93,833.64,-119000,6170,5763.853,5339.275879,328.11783424112,40403.5333333334,163.108,,,,,,,,140000,633,221.169036334913,81,33.9,"Minneapolis","6A"
"Small Hotel",0.766,301600,347.6,1376.9608,3923.6684344,261.81445943613,32664.5153333333,202.885,185740,115.9,749.83062,2309.18592466,154.523189875608,19242.7343333333,105.874,115860,231.7,627.13018,1614.48250974,107.291269560521,13421.781,97.011,,,,,,,,37000,80,462.5,80.3,64.4,"Minneapolis","6A"
"Medium Office",1.298,2.55e+08,2607,870317.607,2999341.389,201437.257877535,25122.2809,278.324,140690,0,480.17497,1653.24242171,111.039684331422,13848.5856666667,175.702,254859310,2607,869837.43203,2997688.14657829,201326.218193204,11273.6952333333,102.622,,,,,,,,20000,116,172.413793103448,80.9,28.4,"Minneapolis","6A"
"School",1.298,835300,6170,9020.8789,16553.2160527,1081.29979996346,134338.463333333,996.748,949800,0,3241.6674,11161.0608582,749.63033746524,93491.98,831.19,-114500,6170,5779.2115,5392.1551945,331.66946249822,40846.4833333334,165.558,,,,,,,,105000,633,165.876777251185,79.9,30.3,"Minneapolis","6A"
"Small Hotel",1.298,301600,347.6,1376.9608,3923.6684344,261.81445943613,32664.5153333333,202.885,184950,115.9,747.13435,2299.90266705,153.899681803806,19164.972,174.824,116650,231.7,629.82645,1623.76576735,107.914777632323,13499.5433333333,28.061,,,,,,,,22200,80,277.5,80.8,62,"Minneapolis","6A"
"Medium Office",0.981,184483,1.664,631.304479,2169.669257197,145.71716175651,17806.98616,252.782,81604.02,0,278.51452026,958.92549325518,64.4060318499897,7870.707729,149.577,102878.98,1.664,352.78995874,1210.74376394182,81.3111299065206,9936.278431,103.205,,,,,,,,24000,1515.44,190.043815657499,86.7,38.5,"Helena","6B"
"School",0.981,643200,4270,6465.2416,12221.0568288,799.72145006908,97696.64,802.65,750000,0,2559.75,8813.21925,591.93804285,72337.5,729.3,-106800,4270,3905.4916,3407.8375788,207.78340721908,25359.14,73.35,,,,,,,,87500,480,182.291666666667,78.9,31.3,"Helena","6B"
"Small Hotel",0.981,244630,306.7,1141.62219,3209.55350017,214.053214968947,26289.5705,161.648,157880,204.1,742.94444,2078.11860692,138.567697243268,17068.316,114.96,86750,102.6,398.67775,1131.43489325,75.4855177256796,9221.2545,46.688,,,,,,,,14400,70,205.714285714286,66.8,38.6,"Helena","6B"
"Medium Office",0.612,184483000,1664,629642.143,2169669.257197,145717.16175651,17806.98616,252.782,111520,0,380.61776,1310.46694768,88.017240718176,10756.104,152.528,184371480,1664,629261.52524,2168358.79024932,145629.144515792,7050.88216,100.254,,,,,,,,21000,126,166.666666666667,80.8,30.4,"Helena","6B"
"School",0.612,643200,4270,6465.2416,12221.0568288,799.72145006908,97696.64,802.65,755100,0,2577.1563,8873.1491409,595.96322154138,72829.395,729.5,-111900,4270,3888.0853,3347.9076879,203.7582285277,24867.245,73.15,,,,,,,,114000,480,237.5,81.3,33.1,"Helena","6B"
"Small Hotel",0.612,244630,306.7,1141.62219,3209.55350017,214.053214968947,26289.5705,161.648,161870,204.1,756.56231,2125.00493333,141.71680763123,15612.3615,115.073,82760,102.6,385.05988,1084.54856684,72.3364073377176,10677.209,46.575,,,,,,,,14560,70,208,77,37.2,"Helena","6B"
"Medium Office",1.571,184483000,1664,629642.143,2169669.257197,145717.16175651,17806.98616,252.782,110540,0,377.27302,1298.95100786,87.243775008852,10661.583,152.435,184372460,1664,629264.86998,2168370.30618914,145629.917981501,7145.40316,100.347,,,,,,,,11600,126,92.0634920634921,80.5,22.9,"Helena","6B"
"School",1.571,643200,4270,6465.2416,12221.0568288,799.72145006908,97696.64,802.65,751900,0,2566.2347,8835.5460721,593.43761922522,72520.755,729.4,-108700,4270,3899.0069,3385.5107567,206.28383084386,25175.885,73.25,,,,,,,,66000,480,137.5,80.5,29.1,"Helena","6B"
"Small Hotel",1.571,244630,306.7,1141.62219,3209.55350017,214.053214968947,26289.5705,161.648,157550,204.1,741.81815,2074.24079045,138.307244504414,15195.6975,115.135,87080,102.6,399.80404,1135.31270972,75.7459704645336,11093.873,46.513,,,,,,,,10800,70,154.285714285714,66.3,36.9,"Helena","6B"
